"","title","author","subject","abstract","meta"
"11","A note on the adjoint method for neural ordinary differential equation network","Pipi Hu","Numerical Analysis (math.NA)","Perturbation and operator adjoint method are used to give the right adjoint form rigourously. From the derivation, we can have following results: 1) The loss gradient is not an ODE, it is an integral and we shows the reason; 2) The traditional adjoint form is not equivalent with the back propagation results. 3) The adjoint operator analysis shows that if and only if the discrete adjoint has the same scheme with the discrete neural ODE, the adjoint form would give the same results as BP does.","Fri, 23 Feb 2024 06:55:34 UTC (5,575 KB)"
"12","Learning solution operators of PDEs defined on varying domains via MIONet","Shanshan Xiao, Pengzhan Jin, Yifa Tang","Machine Learning (cs.LG)","In this work, we propose a method to learn the solution operators of PDEs defined on varying domains via MIONet, and theoretically justify this method. We first extend the approximation theory of MIONet to further deal with metric spaces, establishing that MIONet can approximate mappings with multiple inputs in metric spaces. Subsequently, we construct a set consisting of some appropriate regions and provide a metric on this set thus make it a metric space, which satisfies the approximation condition of MIONet. Building upon the theoretical foundation, we are able to learn the solution mapping of a PDE with all the parameters varying, including the parameters of the differential operator, the right-hand side term, the boundary condition, as well as the domain. Without loss of generality, we for example perform the experiments for 2-d Poisson equations, where the domains and the right-hand side terms are varying. The results provide insights into the performance of this method across convex polygons, polar regions with smooth boundary, and predictions for different levels of discretization on one task. Reasonably, we point out that this is a meshless method, hence can be flexibly used as a general solver for a type of PDE.","Fri, 23 Feb 2024 05:11:34 UTC (3,804 KB)"
"13","The Folland-Stein spectrum of some Heisenberg Bieberbach manifold","Yoshiaki Suzuki","Differential Geometry (math.DG)","We study the eigenvalues and eigenfunctions of the Folland-Stein operator $\mathscr{L}_\alpha$ on some example of 3-dimensional Heisenberg Bieberbach manifolds, that is, compact quotients $\Gamma\backslash\mathbb{H}$ of the Heisenberg group $\mathbb{H}$ by a discrete torsion-free subgroup $\Gamma$ of $\mathbb{H}\rtimes U(1)$.","Fri, 23 Feb 2024 04:43:05 UTC (12 KB)"
"14","Practical Software for Triangulating and Simplifying 4-Manifolds","Rhuaidi Antonio Burke","Geometric Topology (math.GT)","Dimension 4 is the first dimension in which exotic smooth manifold pairs appear -- manifolds which are topologically the same but for which there is no smooth deformation of one into the other. Whilst smooth and triangulated 4-manifolds do coincide, comparatively little work has been done towards gaining an understanding of smooth 4-manifolds from the discrete and algorithmic perspective. In this paper we introduce new software tools to make this possible, including a software implementation of an algorithm which enables us to build triangulations of 4-manifolds from Kirby diagrams, as well as a new heuristic for simplifying 4-manifold triangulations. Using these tools, we present new triangulations of several bounded exotic pairs, corks and plugs (objects responsible for ""exoticity""), as well as the smallest known triangulation of the fundamental K3 surface. The small size of these triangulations benefit us by revealing fine structural features in 4-manifold triangulations.","Fri, 23 Feb 2024 04:13:24 UTC (1,564 KB)"
"15","Repro Samples Method for a Performance Guaranteed Inference in General and Irregular Inference Problems","Minge Xie, Peng Wang","Methodology (stat.ME)","Rapid advancements in data science require us to have fundamentally new frameworks to tackle prevalent but highly non-trivial ""irregular"" inference problems, to which the large sample central limit theorem does not apply. Typical examples are those involving discrete or non-numerical parameters and those involving non-numerical data, etc. In this article, we present an innovative, wide-reaching, and effective approach, called ""repro samples method,"" to conduct statistical inference for these irregular problems plus more. The development relates to but improves several existing simulation-inspired inference approaches, and we provide both exact and approximate theories to support our development. Moreover, the proposed approach is broadly applicable and subsumes the classical Neyman-Pearson framework as a special case. For the often-seen irregular inference problems that involve both discrete/non-numerical and continuous parameters, we propose an effective three-step procedure to make inferences for all parameters. We also develop a unique matching scheme that turns the discreteness of discrete/non-numerical parameters from an obstacle for forming inferential theories into a beneficial attribute for improving computational efficiency. We demonstrate the effectiveness of the proposed general methodology using various examples, including a case study example on a Gaussian mixture model with unknown number of components. This case study example provides a solution to a long-standing open inference question in statistics on how to quantify the estimation uncertainty for the unknown number of components and other associated parameters. Real data and simulation studies, with comparisons to existing approaches, demonstrate the far superior performance of the proposed method.","Thu, 22 Feb 2024 22:43:42 UTC (384 KB)"
"16","A Fast Direct Solver for Elliptic PDEs on a Hierarchy of Adaptively Refined Quadtrees","Damyn Chipman, Donna Calhoun, Carsten Burstedde","Numerical Analysis (math.NA)","We describe a fast, direct solver for elliptic partial differential equations on a two-dimensional hierarchy of adaptively refined, Cartesian meshes. Our solver, inspired by the Hierarchical Poincaré-Steklov (HPS) method introduced by Gillman and Martinsson (SIAM J. Sci. Comput., 2014) uses fast solvers on locally uniform Cartesian patches stored in the leaves of a quadtree and is the first such solver that works directly with the adaptive quadtree mesh managed using the grid management library \pforest (C. Burstedde, L. Wilcox, O. Ghattas, SIAM J. Sci. Comput. 2011). Within each Cartesian patch, stored in leaves of the quadtree, we use a second order finite volume discretization on cell-centered meshes. Key contributions of our algorithm include 4-to-1 merge and split implementations for the HPS build stage and solve stage, respectively. We demonstrate our solver on Poisson and Helmholtz problems with a mesh adapted to the high local curvature of the right-hand side.","Thu, 22 Feb 2024 19:42:08 UTC (1,140 KB)"
"17","Constraint Propagation on GPU: A Case Study for the Bin Packing Constraint","Fabio Tardivo, Laurent Michel, Enrico Pontelli","Other Computer Science (cs.OH)","The Bin Packing Problem is one of the most important problems in discrete optimization, as it captures the requirements of many real-world problems. Because of its importance, it has been approached with the main theoretical and practical tools. Resolution approaches based on Linear Programming are the most effective, while Constraint Programming proves valuable when the Bin Packing Problem is a component of a larger problem. This work focuses on the Bin Packing constraint and explores how GPUs can be used to enhance its propagation algorithm. Two approaches are motivated and discussed, one based on knapsack reasoning and one using alternative lower bounds. The implementations are evaluated in comparison with state-of-the-art approaches on different benchmarks from the literature. The results indicate that the GPU-accelerated lower bounds offers a desirable alternative to tackle large instances.","Fri, 2 Feb 2024 17:44:30 UTC (354 KB)"
"18","Gilbert-Varshamov Bound for Codes in $L_1$ Metric using Multivariate Analytic Combinatorics","Keshav Goyal, Duc Tu Dao, Mladen Kovačević, Han Mao Kiah","Information Theory (cs.IT)","Analytic combinatorics in several variables refers to a suite of tools that provide sharp asymptotic estimates for certain combinatorial quantities. In this paper, we apply these tools to determine the Gilbert--Varshamov lower bound on the rate of optimal codes in $L_1$ metric. Several different code spaces are analyzed, including the simplex and the hypercube in $\mathbb{Z^n}$, all of which are inspired by concrete data storage and transmission models such as the sticky insertion channel, the permutation channel, the adjacent transposition (bit-shift) channel, the multilevel flash memory channel, etc.","Thu, 22 Feb 2024 17:11:45 UTC (168 KB)"
"19","On Schrödingerization based quantum algorithms for linear dynamical systems with inhomogeneous terms","S. Jin, N. Liu, C. Ma","Numerical Analysis (math.NA)","We analyze the Schrödingerisation method for quantum simulation of a general class of non-unitary dynamics with inhomogeneous source terms. The Schrödingerisation technique, introduced in \cite{JLY22a,JLY23}, transforms any linear ordinary and partial differential equations with non-unitary dynamics into a system under unitary dynamics via a warped phase transition that maps the equations into a higher dimension, making them suitable for quantum simulation. This technique can also be applied to these equations with inhomogeneous terms modeling source or forcing terms or boundary and interface conditions, and discrete dynamical systems such as iterative methods in numerical linear algebra, through extra equations in the system. Difficulty airses with the presense of inhomogeneous terms since it can change the stability of the original system. In this paper, we systematically study--both theoretically and numerically--the important issue of recovering the original variables from the Schrödingerized equations, even when the evolution operator contains unstable modes. We show that even with unstable modes, one can still construct a stable scheme, yet to recover the original variable one needs to use suitable data in the extended space. We analyze and compare both the discrete and continuous Fourier transforms used in the extended dimension, and derive corresponding error estimates, which allows one to use the more appropriate transform for specific equations. We also provide a smoother initialization for the Schrodödingerized system to gain higher order accuracy in the extended space. We homogenize the inhomogeneous terms with a stretch transformation, making it easier to recover the original variable. Our recovering technique also provides a simple and generic framework to solve general ill-posed problems in a computationally stable way.","Thu, 22 Feb 2024 16:49:59 UTC (273 KB)"
"20","Error Estimates for First- and Second-Order Lagrange-Galerkin Moving Mesh Schemes for the One-Dimensional Convection-Diffusion Equation","Kharisma Surya Putri, Tatsuki Mizuochi, Niklas Kolbe, Hirofumi Notsu","Numerical Analysis (math.NA)","A new moving mesh scheme based on the Lagrange-Galerkin method for the approximation of the one-dimensional convection-diffusion equation is studied. The mesh movement, which is prescribed by a discretized dynamical system for the nodal points, follows the direction of convection. It is shown that under a restriction of the time increment the mesh movement cannot lead to an overlap of the elements and therefore an invalid mesh. For the linear element, optimal error estimates in the $\ell^\infty(L^2) \cap \ell^2(H_0^1)$ norm are proved in case of both, a first-order backward Euler method and a second-order two-step method in time. These results are based on new estimates of the time dependent interpolation operator derived in this work. Preservation of the total mass is verified for both choices of the time discretization. Numerical experiments are presented that confirm the error estimates and demonstrate that the proposed moving mesh scheme can circumvent limitations that the Lagrange-Galerkin method on a fixed mesh exhibits.","Thu, 22 Feb 2024 16:46:20 UTC (285 KB)[v2] Fri, 23 Feb 2024 09:04:34 UTC (285 KB)"
"21","Quantum Markov Decision Processes Part I: General Theory, Approximations, and Classes of Policies","Naci Saldi, Sina Sanjari, Serdar Yuksel","Quantum Physics (quant-ph)","In this two part article, the aim is to develop a quantum counterpart to classical Markov decision processes (MDPs). In Part I, we provide a very general formulation of quantum MDPs with state and action spaces in the quantum domain, quantum transitions, and cost functions. Once we formulate the quantum MDP (q-MDP), our focus shifts to establishing the verification theorem that proves the sufficiency of Markovian quantum control policies and provides a dynamic programming principle. Subsequently, a comparison is drawn between our q-MDP model and previously established quantum MDP models (referred to as QOMDPs) found in the literature. Furthermore, approximations of q-MDPs are obtained via finite-action models, which can be formulated as QOMDPs. Finally, classes of open-loop and closed-loop policies for q-MDPs are introduced, along with structural results for these policies. In summary, we present a novel quantum MDP model aiming to introduce a new framework, algorithms, and future research avenues. We believe that our approach will pave the way for a new research direction in discrete-time quantum control.","Thu, 22 Feb 2024 15:59:09 UTC (46 KB)"
"22","Random Polynomials Associated with Non-orthonormal Bases","Afrim Bojnik, Ozan Günyüz","Complex Variables (math.CV)","This article addresses an equidistribution problem concerning the zeros of random polynomials on $\mathbb{C}^{m},$ which are represented using a general basis that may not necessarily be orthonormal. We prove the equidistribution results which are more general than the previously acquired ones for non-discrete probability measures. More precisely, our result demonstrates that the equidistribution holds true even when the random coefficients in the basis representation are not independent and identically distributed (i.i.d.), and moreover, they are not constrained to any particular probability distribution function. Main tools are borrowed from the capacity theory. In the context of random polynomial mappings from $\mathbb{C}^{m}$ to $\mathbb{C}^k$, we prove an equidistribution theorem for various codimensions $1 \leq k \leq m$ by applying the results from the capacity theory along with the codimension $1$ analysis. Based on our current information, this result is general enough to encompass many previous ones in the literature regarding the asymptotic distribution of zeros of random polynomial mappings. We touch upon some well-known probability in this direction. Finally, by extending the concept of a sequence of asymptotically Bernstein-Markov measures to the setting of holomorphic line bundles over compact Kähler manifolds, we establish a global equidistribution theorem related to the zeros of systems of random holomorphic sections for large tensor powers of a fixed line bundle for any codimension $k$.","Thu, 22 Feb 2024 15:26:00 UTC (35 KB)"
"23","An Entropy-Stable Discontinuous Galerkin Discretization of the Ideal Multi-Ion Magnetohydrodynamics System","Andrés M Rueda-Ramírez, Aleksey Sikstel, Gregor J Gassner","Numerical Analysis (math.NA)","In this paper, we present an entropy-stable (ES) discretization using a nodal discontinuous Galerkin (DG) method for the ideal multi-ion magneto-hydrodynamics (MHD) equations. We start by performing a continuous entropy analysis of the ideal multi-ion MHD system, described by, e.g., Toth (2010) [Multi-Ion Magnetohydrodynamics], which describes the motion of multi-ion plasmas with independent momentum and energy equations for each ion species. Following the continuous entropy analysis, we propose an algebraic manipulation to the multi-ion MHD system, such that entropy consistency can be transferred from the continuous analysis to its discrete approximation. Moreover, we augment the system of equations with a generalized Lagrange multiplier (GLM) technique to have an additional cleaning mechanism of the magnetic field divergence error. We first derive robust entropy-conservative (EC) fluxes for the alternative formulation of the multi-ion GLM-MHD system that satisfy a Tadmor-type condition and are consistent with existing EC fluxes for single-fluid GLM-MHD equations. Using these numerical two-point fluxes, we construct high-order EC and ES DG discretizations of the ideal multi-ion MHD system using collocated Legendre--Gauss--Lobatto summation-by-parts (SBP) operators. The resulting nodal DG schemes satisfy the second-law of thermodynamics at the semi-discrete level, while maintaining high-order convergence and local node-wise conservation properties. We demonstrate the high-order convergence, and the EC and ES properties of our scheme with numerical validation experiments. Moreover, we demonstrate the importance of the GLM divergence technique and the ES discretization to improve the robustness properties of a DG discretization of the multi-ion MHD system by solving a challenging magnetized Kelvin-Helmholtz instability problem that exhibits MHD turbulence.","Thu, 22 Feb 2024 15:03:38 UTC (7,026 KB)[v2] Fri, 23 Feb 2024 12:18:08 UTC (7,026 KB)"
"24","The limit law of certain discrete multivariate distributions","Andrius Grigutis, Artur Nakliuda","Probability (math.PR)","Let $X_1,\,X_2,\,\ldots,\,X_N$, $N\in\mathbb{N}$ be independent but not necessarily identically distributed discrete and integer-valued random variables. Assume that $X_1\geqslant m_1$, $X_2\geqslant m_2$, $\ldots$, $X_N\geqslant m_N$ almost surely, where $m_1,\,m_2,\ldots,\,m_N$ are some integer numbers such that $m_1+m_2+\ldots+m_N<0$, and $X_k$ is identically distributed as $X_{k+N}$, for all $k\in\mathbb{N}$ in the sequence $X_1,\,X_2,\,\ldots$ In this communication, we make use of some of the known results to provide the closed-form expression of the limit multivariate distribution function $\mathbb{P}(X_1\leqslant x,\,X_1+X_2\leqslant x,\,\ldots)$, $x\in\mathbb{Z}$ via: (1) inclusion-exclusion principle based product of the roots of $G_{N}(s)=1$, where $G_{N}(s)$ is the probability generating function of $S_N=X_1+X_2+\ldots+X_N$, (2) the probability mass function of $S_N$, and (3) the expectation $\mathbb{E}S_N$.","Thu, 22 Feb 2024 11:57:14 UTC (37 KB)"
"25","Bayesian games with nested information","Royi Jacobovic, Eilon Solan","Probability (math.PR)","We prove that any Bayesian game (á la Aumann) with a general state space, compact metric action spaces, and nested information admits a Harsanyi $\varepsilon$-equilibrium for every $\varepsilon> 0$. When, in addition, the action spaces and the payoffs are discrete, there is a Bayesian $\varepsilon$-equilibrium. To this end, we develop a new finite approximation of information structures, which has independent interest. We also put forth several open problems, including the existence of a $0$-equilibrium (Harsanyi or Bayesian) in Bayesian games with nested information, the existence of a Harsanyi $\varepsilon$-equilibrium in multi-stage Bayesian games with nested information, and the canonical structure of the universal belief space when the information structure is nested.","Thu, 22 Feb 2024 11:13:18 UTC (26 KB)"
"26","The expansion of half-integral polytopes","Jean Cardinal, Lionel Pournin","Combinatorics (math.CO)","The expansion of a polytope is an important parameter for the analysis of the random walks on its graph. A conjecture of Mihai and Vazirani states that all $0/1$-polytopes have expansion at least 1. We show that the generalization to half-integral polytopes does not hold by constructing $d$-dimensional half-integral polytopes whose expansion decreases exponentially fast with $d$. We also prove that the expansion of half-integral zonotopes is uniformly bounded away from $0$. As an intermediate result, we show that half-integral zonotopes are always graphical.","Thu, 22 Feb 2024 07:20:53 UTC (26 KB)"
"27","Innovation Diffusion in EV Charging Location Decisions: Integrating Demand & Supply through Market Dynamics","Xiangyong Luo, Michael J. Kuby, Yudai Honma, Mouna Kchaou-Boujelben, Xuesong (Simon)Zhou","Optimization and Control (math.OC)","This paper offers a strategic approach to Electric Vehicles (EVs) charging network planning, emphasizing the integration of demand and supply dynamics via continuous-time fluid queue models and discrete flow refueling location modeling, all in the context of innovation diffusion principles. We employ a continuous-time approximation based on Ordinary Differential Equations (ODEs) to design multi-year supply curves, a method that stands in contrast to conventional practices which often overlook inter-year transitions and ongoing processes. For medium-term charging station location planning (CSLP), we apply a flow refueling location model (FRLM) within grid-based multi-level networks, considering both multiple-path networks and capacity constraints. The grid-based network planning strategy uses a three-tier (Macro-Meso-Micro) approach for thorough EV charging station placement, with the macro-level covering entire cities, the meso-level assessing detailed EV routes and bridging the macro to micro levels, and the micro-level focusing on precise station placement for accessibility and efficiency. Our investigation into overutilization and underutilization scenarios delivers valuable insights for policymaking and cost-benefit analyses. Illustrating our approach with the example of the Chicago sketch network, we introduce an integrated demand-supply model suitable for a single region and extendable to multiple regions, thereby addressing a gap in the existing literature. Our proposed methodology focuses on EV station placement, taking into account future needs, geographical capacities, and the importance of scenario analysis, which empowers strategic resource planning for EV charging networks over extended timeframes, thus aiding the transition towards a more sustainable and efficient transportation system.","Thu, 22 Feb 2024 04:02:55 UTC (2,003 KB)"
"28","Grid Minors and Products","Vida Dujmović, Pat Morin, David Wood, David Worley","Combinatorics (math.CO)","Motivated by recent developments regarding the product structure of planar graphs, we study relationships between treewidth, grid minors, and graph products. We show that the Cartesian product of any two connected $n$-vertex graphs contains an $\Omega(\sqrt{n})\times\Omega(\sqrt{n})$ grid minor. This result is tight: The lexicographic product (which includes the Cartesian product as a subgraph) of a star and any $n$-vertex tree has no $\omega(\sqrt{n})\times\omega(\sqrt{n})$ grid minor.","Wed, 21 Feb 2024 23:59:16 UTC (809 KB)"
